Name,thermal (C),percentile (higher is better)
000_tfz-d+N131+0,178.2,2
001_scu+N131+2,286.5,17
006_tfz-d+N131+8,168.8,1
 009_scu+N131+13,180.7,2
012_hex+N131+18,266.4,15
017_flu+N131+16,263.2,14
020_tfz-d+N131+26,154.2,1
022_hex+N131+28,342.3,42
030_tfz-d+N131+39,311.4,30
032_tfz-d+N131+42,264.1,14
034_scu+N131+45,158.2,1
051_tfz-d+N131+72,173,2
078_apo+N442+125,393.5,66
084_tfz-d+N131+133,190.9,2
089_tfz-d+N131+140,154.7,1
090_tfz-d+N131+142,162.7,1
095_bcg+N131+153,321.7,34
098_tfz-d+N131+157,184.5,2
099_scu+N131+158,205.2,3
106_scu+N131+165,150.1,1
109_dmp+N520+99,302.5,26
111_csq+N131+36,171.4,2
117_tfz-d+N131+179,245.7,9
119_tfz-d+N131+182,173.6,2
121_bcg+N131+187,297.5,25
123_bcg+N131+191,331.9,38
128_apo+N442+178,363.5,52
131_tfz-d+N131+208,223.9,5
132_tfz-d+N131+209,377.1,59
138_tfz-d+N131+223,194.5,3
140_rob+N339+237,430.8,81
143_tfz-d+N131+239,224.1,5
154_bcg+N131+255,263.8,14
158_scu+N131+261,160.5,1
160_tfz-d+N131+264,154.6,1
162_tfz-d+N131+272,178.2,2
